sa_value,number_nodes,number_edges,solution_sa
12.490999999999998,540,88600,"['l_d_0-R_a_324', 'l_d_0-R_d_365', 'l_d_1-R_a_712', 'l_d_2-R_a_713', 'l_d_2-R_d_780', 'l_d_2-R_n_48', 'l_d_3-R_a_430', 'l_d_3-R_d_481', 'l_d_4-R_a_989', 'l_a_0-R_d_195', 'l_a_1-R_a_712', 'l_a_2-R_a_713', 'l_a_2-R_d_780', 'l_a_2-R_n_48', 'l_a_3-R_a_430', 'l_a_3-R_d_481', 'l_a_4-R_a_989', 'l_p_0-R_a_324', 'l_p_0-R_d_365', 'l_h_1-R_a_323', 'l_h_2-R_a_323', 'l_h_3-R_d_367', 'l_h_4-R_a_429']"
11.923,585,114429,"['l_d_1-R_a_737', 'l_d_1-R_d_782', 'l_d_2-R_a_737', 'l_d_3-R_d_796', 'l_d_3-R_a_750', 'l_d_4-R_a_668', 'l_d_4-R_d_715', 'l_d_5-R_a_620', 'l_a_0-R_a_665', 'l_a_0-R_d_712', 'l_a_1-R_a_737', 'l_a_1-R_d_782', 'l_a_2-R_d_796', 'l_a_2-R_a_750', 'l_a_3-R_a_668', 'l_a_3-R_d_715', 'l_a_4-R_a_620', 'l_a_5-R_d_719', 'l_a_5-R_a_672', 'l_h_0-R_a_667', 'l_h_1-R_d_713']"
8.4954,544,112012,"['l_d_1-R_a_120', 'l_d_2-R_a_119', 'l_d_3-R_a_116', 'l_d_4-R_d_132', 'l_d_4-R_a_115', 'l_d_6-R_d_64', 'l_a_0-R_d_137', 'l_a_1-R_d_64', 'l_p_0-R_a_120', 'l_p_1-R_a_119', 'l_p_2-R_a_116', 'l_p_3-R_d_132', 'l_p_3-R_a_115', 'l_h_0-R_d_136']"
8.9248,558,99059,"['l_d_0-R_d_163', 'l_d_1-R_a_141', 'l_d_1-R_d_168', 'l_d_2-R_a_136', 'l_d_3-R_d_162', 'l_d_4-R_a_134', 'l_d_5-R_d_158', 'l_a_0-R_d_163', 'l_a_1-R_a_141', 'l_a_1-R_d_168', 'l_a_3-R_d_161', 'l_p_0-R_d_162', 'l_p_1-R_a_134', 'l_p_2-R_d_158', 'l_h_2-R_d_160', 'l_h_3-R_a_132', 'l_h_4-R_a_132']"
10.056899999999997,448,73194,"['l_d_0-R_d_140', 'l_d_1-R_a_136', 'l_d_1-R_d_153', 'l_d_2-R_d_147', 'l_d_2-R_a_130', 'l_d_3-R_a_129', 'l_d_4-R_d_148', 'l_d_5-R_d_146', 'l_a_0-R_d_140', 'l_a_1-R_d_141', 'l_a_2-R_a_136', 'l_a_2-R_d_153', 'l_a_3-R_a_129', 'l_a_4-R_d_146', 'l_p_0-R_d_147', 'l_p_0-R_a_130', 'l_p_1-R_d_148']"
9.569599999999998,490,90881,"['l_d_0-R_d_228', 'l_d_0-R_a_217', 'l_d_1-R_a_289', 'l_d_2-R_d_355', 'l_d_2-R_a_331', 'l_d_4-R_a_290', 'l_d_4-R_d_311', 'l_d_4-R_n_27', 'l_a_0-R_a_289', 'l_a_1-R_d_355', 'l_a_1-R_a_331', 'l_a_2-R_h_471', 'l_a_3-R_a_290', 'l_a_3-R_d_311', 'l_a_3-R_n_27', 'l_p_0-R_a_217', 'l_h_3-R_h_470']"
3.742,451,83436,"['l_d_0-R_d_334', 'l_d_0-R_a_310', 'l_d_1-R_h_382', 'l_d_1-R_h_45', 'l_a_0-R_d_334', 'l_a_0-R_a_310', 'l_a_1-R_h_382', 'l_a_1-R_h_45', 'l_h_0-R_d_328', 'l_h_1-R_a_303', 'l_h_2-R_h_83', 'l_h_3-R_h_480', 'l_h_3-R_h_83', 'l_h_5-R_h_480']"
13.622399999999999,570,104320,"['l_d_0-R_a_392', 'l_d_1-R_n_37', 'l_d_1-R_a_393', 'l_d_1-R_d_423', 'l_d_2-R_n_22', 'l_d_2-R_a_236', 'l_d_3-R_d_257', 'l_d_3-R_a_237', 'l_d_4-R_d_257', 'l_d_4-R_a_237', 'l_d_5-R_n_21', 'l_d_5-R_d_238', 'l_d_5-R_a_221', 'l_a_0-R_n_37', 'l_a_0-R_a_393', 'l_a_0-R_d_423', 'l_a_1-R_n_22', 'l_a_1-R_a_236', 'l_a_2-R_n_21', 'l_a_2-R_d_238', 'l_a_2-R_a_221', 'l_h_3-R_a_532', 'l_h_4-R_a_532']"
6.520499999999998,462,67922,"['l_d_0-R_d_104', 'l_d_1-R_a_177', 'l_d_2-R_d_188', 'l_d_3-R_d_111', 'l_d_4-R_d_160', 'l_a_0-R_d_104', 'l_a_1-R_d_188', 'l_a_2-R_d_161', 'l_a_3-R_d_160', 'l_p_0-R_a_177', 'l_h_2-R_a_40', 'l_h_3-R_d_38']"
